Participant_ID,Group,Age,Gender,Nationality,Other_Nationality,Native_Language,Other_Native_Language,Education,Writing_Proficiency,Daily_Email_Frequency,BFI_Agreeableness,BFI_Conscientiousness,BFI_Extraversion,BFI_Neuroticism,BFI_Openness,ERQ_Cognitive_Reappraisal,ERQ_Expressive_Suppression,Percieved_Stress_Scale,NASA_Mental_Demand,NASA_Physical_Demand,NASA_Temporal_Demand,NASA_Performance,NASA_Effort,NASA_Frustration
T005,CH,19,2,1,NA,2,Spanish,2,6,5,35,32,35,25,42,31,8,17,6,2,7,5,5,4
T016,BH,20,1,1,NA,1,NA,2,5,6,34,24,20,19,29,33,21,10,3,6,5,5,6,6
T021,BH,22,2,1,NA,2,farsi,2,5,6,29,25,28,21,35,24,11,25,3,3,5,6,3,2
T051,BL,23,2,1,NA,1,NA,2,7,7,36,32,31,23,42,35,19,29,3,2,5,7,5,2
T063,CH,21,2,1,NA,1,NA,2,7,7,43,36,36,12,44,33,11,12,6,1,7,6,6,5
T064,CH,52,2,1,NA,1,NA,1,7,7,36,32,22,19,37,35,12,8,6,4,5,5,5,5
T068,CH,22,2,1,NA,1,NA,2,7,7,39,28,28,29,38,31,5,22,7,5,7,5,7,6
T077,BH,28,1,1,NA,1,NA,3,7,7,36,43,32,18,43,36,17,12,6,2,7,5,5,5
T079,BH,23,2,1,NA,1,NA,2,7,7,44,31,30,20,29,42,6,10,5,2,5,6,6,3
T083,BH,21,2,1,NA,1,NA,2,7,7,37,32,29,31,39,32,13,12,7,4,7,3,6,4
T085,BH,21,1,2,Indian,1,NA,1,7,7,32,32,27,23,39,22,16,14,3,3,3,6,4,2
T092,CL,54,2,1,NA,1,NA,2,7,7,42,44,26,12,46,30,15,11,5,3,3,5,5,2
T094,CL,20,2,2,Nigeria,1,NA,2,7,5,35,30,24,18,38,35,18,10,5,2,2,5,6,1
T098,CL,49,2,1,NA,1,NA,3,7,7,40,31,20,26,28,21,17,17,7,2,7,5,7,6
T099,CL,20,1,1,NA,1,NA,2,7,7,37,31,20,18,39,38,8,10,6,2,7,2,5,5
T106,BL,21,2,1,NA,1,NA,2,7,7,41,38,34,15,36,32,12,14,5,2,5,3,3,2
T121,CH,23,1,1,NA,1,NA,2,7,6,35,24,24,28,46,34,12,24,7,6,7,7,7,5
T124,CH,19,2,1,NA,1,NA,1,7,7,39,30,14,20,41,28,23,20,5,2,4,5,5,5
T132,CH,25,2,1,NA,1,NA,4,7,7,26,38,26,28,37,30,20,27,6,2,6,5,5,5
T139,BH,19,1,1,NA,1,NA,2,7,4,42,26,30,16,35,40,17,18,5,1,5,2,5,3
T144,BH,21,2,1,NA,1,NA,2,6,6,34,28,26,21,31,39,11,9,6,5,7,2,6,5
T151,CL,19,1,1,NA,1,NA,1,7,7,32,27,17,21,37,39,18,18,5,5,3,6,6,5
T157,CL,20,1,1,NA,1,NA,2,7,6,36,39,26,20,47,36,12,13,5,1,3,7,7,1
T166,BL,21,2,1,NA,1,NA,2,7,5,45,27,38,26,46,20,4,23,3,3,5,2,5,6
T175,BL,18,2,1,NA,1,NA,1,7,7,37,29,20,28,44,30,19,23,1,1,1,5,2,5
T178,BL,21,2,1,NA,1,NA,2,7,6,40,35,33,21,27,33,17,13,5,1,4,6,4,2
